transaction_id,timestamp,account_id,device_id,session_id,amount,currency,merchant_id,merchant_category_code,merchant_risk_score,payment_rail,transaction_type,card_present,ip_address,location_country,location_region,authentication_method,auth_success,user_agent,beneficiary_account_id,beneficiary_merchant_id,beneficiary_is_new,avg_amount_last_1d,avg_amount_last_7d,transaction_count_last_1h,transaction_count_last_24h,device_age_days,account_age_days,is_new_device,is_new_beneficiary,velocity_score,merchant_familiarity_score,campaign_id,campaign_step,is_fraud,attack_family,attack_variant,lifecycle_stage,source_document,meta_hard_negative,meta_evasion_level,seconds_since_prev_tx,amount_to_avg_7d_ratio,amount_zscore_account,account_tx_count_to_date,distinct_beneficiaries_last_24h,distinct_devices_last_7d,hour_of_day,day_of_week,is_night,meta_label_flipped
txn_00059897_1cff2416,2026-07-03T10:01:58.767656,acc_5327a8eaee,dev_489ccf243f,ses_b01617a215,16349.05,INR,mch_9423d67731,5411.0,0.7415,upi,subscription,False,127.0.0.1,IN,DL,document_upload,True,Mozilla/5.0,,mch_9423d67731,False,0.0,110634.06,0,0,809,601,False,False,0.0,0.2474,seq_27a8eaee_2651a8,13,0,,,Merchant,gateway_processor,False,n/a,120134,0.1478,-0.6637,19,0,2,10,4,0,False
txn_00069501_d933a4ac,2026-06-12T17:46:36.383752,acc_758b764d6b,dev_1a82daa125,ses_319182bfb4,48.34,GBP,mch_82daa570b3,5814.0,0.2738,upi,subscription,False,127.0.0.1,GB,MH,biometric,True,Mozilla/5.0,,mch_82daa570b3,True,579450.11,292026.71,2,4,406,0,False,True,0.2275,0.0037,seq_8b764d6b_be9508,4,0,,,Payment_Initiation,merchant,False,n/a,29,0.0002,-0.3165,13,2,3,17,4,0,False
txn_00059022_f00494bd,2026-07-14T18:02:42.989730,acc_fbe226734c,dev_810af020fd,ses_26d3978d2f,9821.8,INR,,,,upi,session_login,False,127.0.0.1,IN,DL,password,True,Mozilla/5.0,,,False,233383.94,233383.94,7,9,174,1136,False,False,0.6944,,seq_e226734c_86e19f,10,0,,,Account_Creation,gateway_processor,False,n/a,122,0.0421,-1.0957,22,4,3,18,1,0,False
txn_00028925_5c68f6c6,2026-08-16T07:14:53.310652,acc_c267d75d85,dev_b4ba36193d,ses_626d86ef2f,20179.83,USD,,,,upi,auth_attempt,False,127.0.0.1,US,KA,password,True,Mozilla/5.0,,,False,224014.22,224014.22,4,14,768,577,False,False,0.5878,,seq_67d75d85_6d3ebd,15,0,,,Merchant,authentication,False,n/a,519,0.0901,-0.468,35,5,3,7,6,0,False
txn_00080442_085b63ee,2026-07-02T17:18:43.538319,acc_f1dffd50aa,dev_f698a43356,ses_16d544a64d,3504.49,INR,,,,card,crypto_transfer,False,127.0.0.1,IN,UP,password,True,Mozilla/5.0,ben_4117cf62ab,,True,0.0,599172.53,0,0,188,650,False,True,0.0,0.0,seq_dffd50aa_7b995f,1,0,,,Settlement,network,False,n/a,334981,0.0058,-0.6143,6,0,1,17,3,0,False
txn_00061239_1b683c41,2026-08-06T06:00:36.953863,acc_dcf39e2dc8,dev_7a2c292408,ses_b83435caf4,32453.35,INR,,,,upi,scope_access,False,127.0.0.1,IN,KA,biometric,True,Mozilla/5.0,,,False,0.0,45225.5,0,0,15,965,False,False,0.01,,seq_f39e2dc8_6661e6,2,0,,,Device_Session,kyc,False,n/a,144086,0.7176,-0.3639,30,0,2,6,3,0,False
txn_00086600_498fa481,2026-07-07T00:47:06.158877,acc_e4e4431fda,dev_d620dcf319,ses_a33d9c30de,6021.86,AUD,mch_ab1eeda563,5812.0,0.2064,upi,bill_payment,False,127.0.0.1,AU,PB,biometric,True,Mozilla/5.0,,mch_ab1eeda563,True,0.0,0.0,0,0,710,1370,True,True,0.1395,0.0,,0,0,,,Identity_KYC,onboarding,False,n/a,-1,,,0,0,0,0,1,1,False
txn_00001607_a041dad9,2026-07-23T19:56:15.713121,acc_0cd68b2d41,dev_80ce8bef86,ses_ea75d3cc25,1417.18,INR,,,,card,transfer,False,127.0.0.1,IN,KA,video_verification,False,Mozilla/5.0,ben_be42c0787b,,True,0.0,1902.95,0,0,615,335,False,True,0.0,0.0419,seq_d68b2d41_d01c89,2,0,,,Cash_Out,agent_commerce,False,n/a,376520,0.7447,-0.271,12,0,1,19,3,0,False
txn_00022780_b31e1bb3,2026-05-22T02:35:19.554617,acc_6c622476df,dev_65e9786f66,ses_20bc9f54cc,35.61,INR,,,,upi,cross_border_transfer,False,127.0.0.1,IN,TN,unknown,True,Mozilla/5.0,ben_f3fdaf9386,,False,28368.46,28368.46,4,12,33,638,False,False,0.5659,0.2399,seq_622476df_7c63e2,13,0,,,Identity_KYC,acquirer,False,n/a,632,0.0013,-0.4167,12,6,4,2,4,1,False
txn_00089904_06d75b57,2026-07-09T04:40:52.366981,acc_e63e91030a,dev_bbd38c6677,ses_909d50a22e,7242.92,INR,mch_728e1a64c1,5812.0,0.3024,upi,purchase,False,127.0.0.1,IN,TG,biometric,True,Mozilla/5.0,,mch_728e1a64c1,True,11058.14,8110.21,1,2,676,1007,False,True,0.1052,0.0934,seq_3e91030a_089ef5,3,0,,,Cash_Out,open_banking,False,n/a,2478,0.8931,0.0447,5,2,2,4,3,1,False
txn_00044963_4e0ecca4,2026-06-17T04:24:46.703028,acc_b23bb250df,dev_563e3c73dc,ses_7b2b5a898d,9.03,AED,,,,authentication,login_attempt,False,127.0.0.1,AE,RJ,unknown,True,Mozilla/5.0,,,False,0.0,10094.38,0,0,466,0,False,False,0.0477,,seq_3bb250df_c71093,1,0,,,Account_Creation,device_session,False,n/a,403173,0.0009,-0.3796,9,0,1,4,2,1,False
txn_00014043_50906a47,2026-05-23T06:44:13.154715,acc_b2225a3595,dev_13230b77eb,ses_e8b9a32e45,6834992.71,INR,mch_070ca31cba,5812.0,0.4274,wallet,purchase,False,127.0.0.1,IN,UP,otp,True,Mozilla/5.0,,mch_070ca31cba,True,70947.71,70947.71,0,1,716,462,False,True,0.2259,0.0,seq_225a3595_abc16e,2,0,,,Authorization,aml,False,n/a,70381,96.3385,,1,0,1,6,5,0,False
txn_00093245_9b166fee,2026-07-01T09:54:15.096585,acc_b1587cc7a1,dev_137a150f41,ses_d0b442958b,146930.58,INR,,,,card,video_kyc,False,127.0.0.1,IN,MH,biometric,False,Mozilla/5.0,,,False,51539.24,51539.24,0,8,0,140,True,False,0.2668,,seq_587cc7a1_729638,9,0,,,Authorization,open_banking,False,n/a,38130,2.8508,0.4555,16,3,3,9,2,0,False
txn_00036549_0bc12c64,2026-06-15T17:48:46.369708,acc_c70feb60cd,dev_c73be5eac0,ses_da67b9931a,2017.32,INR,mch_4ba7d0eb58,5411.0,0.5397,bank_transfer,subscription,False,127.0.0.1,IN,TG,biometric,True,Mozilla/5.0,,mch_4ba7d0eb58,True,0.0,0.0,0,0,894,998,True,True,0.1993,0.0,seq_0feb60cd_191b58,1,0,,,Payment_Initiation,cash_out,False,n/a,-1,,,1,0,0,17,0,0,False
