transaction_id,timestamp,account_id,device_id,session_id,amount,currency,merchant_id,merchant_category_code,merchant_risk_score,payment_rail,transaction_type,card_present,ip_address,location_country,location_region,authentication_method,auth_success,user_agent,beneficiary_account_id,beneficiary_merchant_id,beneficiary_is_new,avg_amount_last_1d,avg_amount_last_7d,transaction_count_last_1h,transaction_count_last_24h,device_age_days,account_age_days,is_new_device,is_new_beneficiary,velocity_score,merchant_familiarity_score,campaign_id,campaign_step,is_fraud,attack_family,attack_variant,lifecycle_stage,source_document,meta_hard_negative,meta_evasion_level,seconds_since_prev_tx,amount_to_avg_7d_ratio,amount_zscore_account,account_tx_count_to_date,distinct_beneficiaries_last_24h,distinct_devices_last_7d,hour_of_day,day_of_week,is_night,meta_label_flipped
txn_00026891_efe78a0b,2026-05-28T00:42:09.002700,acc_918a926e50,dev_a0359661d2,ses_4f873ad069,148833.41,INR,,,,card,document_submission,False,127.0.0.1,IN,TG,biometric,True,Mozilla/5.0,,,False,20863.97,20863.97,3,3,419,1929,False,False,0.4225,,camp_auth001_a1aac6d2,4,1,AUTH-001,AitM_Phishing,Authentication,authentication,False,evasive,55,7.1335,4.4557,3,1,1,0,3,1,False
txn_00095932_19e6a33a,2026-07-07T00:43:50.107146,acc_c52cdd9114,dev_2251028464,ses_8c18632b51,8249.86,INR,mch_08161f7dae,5411.0,0.1104,card,refund,True,127.0.0.1,IN,DL,unknown,True,Mozilla/5.0,,mch_08161f7dae,True,2266.9,799.8,1,1,115,174,False,True,0.3135,0.0,camp_pif003_4c726490,2,1,PI-F003,Fake_Damage_Videos,Payment_Initiation,payment_initiation,False,crude,33,10.3149,-0.4097,30,1,3,0,1,1,False
txn_00065816_a993154d,2026-05-27T10:51:27.206845,acc_00188fca37,dev_9fd2054586,ses_dc666105df,15054.9,INR,,,,upi,crypto_transfer,False,127.0.0.1,IN,WB,otp,True,Mozilla/5.0,ben_2176de50e0,,True,17750.87,48340.76,4,6,850,373,False,True,0.5471,0.0107,camp_ato001_55c4be6c,7,1,ATO-001,Customer_Support_Impersonation,Identity_KYC,kyc,False,evasive,1830,0.3114,-0.4103,7,2,2,10,2,0,False
txn_00057679_abaae3b1,2026-06-26T22:23:04.267784,acc_be0b13d298,dev_4971b10e8f,ses_8e15fbcaaf,17146.81,INR,mch_8091159224,5411.0,0.2377,card,purchase,True,127.0.0.1,IN,KL,unknown,True,Mozilla/5.0,,mch_8091159224,True,11646.32,30691.87,12,13,660,1909,False,True,0.6808,0.0385,camp_gp001_3f37cac3,13,1,GP-001,Prompt_Injection,Gateway_Processor,gateway_processor,False,moderate,19,0.5587,-0.5287,30,10,2,22,4,0,False
txn_00045701_857359de,2026-05-28T16:33:34.257545,acc_a73a4f206a,dev_1436001edf,ses_7f988876ab,43050.48,INR,,,,bank_transfer,transfer,False,127.0.0.1,IN,KL,biometric,True,Mozilla/5.0,ben_1d1ca27f14,,False,41100.89,46504.38,1,11,243,1096,False,False,0.336,0.9144,camp_bbe001_6877c496,22,1,BBE-001,Keystroke_Injection,Device_Session,device_session,False,crude,3089,0.9257,-0.1081,21,8,1,16,3,0,False
txn_00012661_76b96c97,2026-06-28T02:45:12.072222,acc_b0e096a749,dev_5dd869945c,ses_ac144f879f,260174.87,INR,,,,bank_transfer,transfer,False,127.0.0.1,IN,UP,unknown,True,Mozilla/5.0,ben_391752a39e,,True,79230.95,70440.4,4,8,191,397,False,True,0.5912,0.0,camp_aml005_4ec77beb,9,1,AML-005,Evidence_Fabrication,AML_Compliance,aml,False,crude,1101,3.6935,2.7199,14,3,2,2,6,1,False
txn_00021291_b35f4a20,2026-06-29T20:31:24.676172,acc_b3fa0608dc,dev_c431ffa45f,ses_f535ea5f15,19488.49,INR,,,,token,password_reset,False,127.0.0.1,IN,HR,unknown,True,Mozilla/5.0,,,False,18132.53,18132.53,3,13,699,1720,False,False,0.6019,,camp_acq002_a8bd968d,14,1,ACQ-002,Risk_Score_Evasion,Acquirer,acquirer,False,evasive,675,1.0748,-0.2551,17,9,3,20,0,0,False
txn_00100328_51aede02,2026-07-29T08:40:10.243886,acc_3e94e71063,dev_8bd371af9e,ses_bce2cc9479,496.81,USD,,,,upi,account_creation,False,127.0.0.1,US,MH,otp,True,Mozilla/5.0,,,False,0.0,3278.16,0,0,167,25,False,False,0.0,,camp_pif003_91822634,1,1,PI-F003,Fake_Damage_Images,Payment_Initiation,payment_initiation,False,evasive,231807,0.1516,-0.3218,12,0,1,8,2,0,False
txn_00060775_6f3c020d,2026-06-21T12:18:06.648946,acc_c07ee4704c,dev_392999cd7e,ses_8345c4326c,46635.48,INR,,,,bank_transfer,transfer,False,127.0.0.1,IN,HR,document_upload,True,Mozilla/5.0,ben_1eb71bae0b,,True,1649.27,19649.56,0,2,162,1305,False,True,0.0795,0.0,camp_gdf001_7973ec6e,3,1,GDF-001,DL_Forgery,Identity_KYC,kyc,False,evasive,6995,2.3734,-0.0624,7,0,1,12,6,0,False
txn_00103416_a44165f3,2026-08-05T20:20:17.406065,acc_350f76448e,dev_8958326dce,ses_c1fb59a423,9258885.92,INR,,,,swift,cross_border_transfer,False,127.0.0.1,IN,MH,unknown,True,Mozilla/5.0,ben_1cc1cdceb6,,False,1971074.58,758062.21,4,4,754,815,False,False,0.5767,0.6732,camp_r001_bdd022a0,5,1,R-001,Hyper_Personalized_Phishing,Payment_Rail,payment_rail,False,crude,83,12.2139,6.5392,31,1,5,20,2,0,False
